OBJECTID,SUM_POP100,SUM_HU100,SUM_TotPop,SUM_HispPop,SUM_NonHispPop,SUM_NHOneRace,SUM_NH_White,SUM_NH_Black,SUM_NH_AmInd,SUM_NH_Asian,SUM_NH_HawPacI,SUM_NH_Other,SUM_NH_2orMore,SUM_VAP_TotPop,SUM_VAP_HispPo,SUM_VAP_NonHis,SUM_VAP_NHOneR,SUM_VAP_NH_Whi,SUM_VAP_NH_Bla,SUM_VAP_NH_AmI,SUM_VAP_NH_Asi,SUM_VAP_HawPac,SUM_VAP_NH_Oth,SUM_VAP_NH_2or,SUM_TotHousing,SUM_OccHU,SUM_VacantHU,Shapearea,Shapelen,POLYID,Name
1,3881,2104,3881,711,3170,3091,1353,1396,11,321,1,9,79,3103,544,2559,2510,1310,885,11,296,1,7,49,2104,1978,126,12969824.766339,16572.026024,60,FOURTH WARD
2,13471,5120,13471,10603,2868,2798,1063,1623,21,78,2,11,70,9734,7525,2209,2161,956,1104,20,74,1,6,48,5120,4406,714,80404724.018217,43118.770016,63,SECOND WARD
3,16716,3664,16716,3266,13450,13347,6092,6562,29,355,1,308,103,16202,3141,13061,12973,5960,6344,29,333,1,306,88,3664,2921,743,75500230.282065,39256.387491,61,DOWNTOWN
4,2497,1133,2497,603,1894,1880,15,1853,5,6,0,1,14,1859,343,1516,1505,15,1480,3,6,0,1,11,1133,940,193,76553521.315648,59784.697729,59,CLINTON PARK TRI-COMMUNITY
5,49277,31563,49277,7311,41966,41129,34063,2291,69,4551,11,144,837,42519,5966,36553,35936,29948,1960,55,3850,10,113,617,31563,27432,4131,229792131.737789,75759.390142,21,GREATER UPTOWN
6,33973,15192,33973,15914,18059,17769,4920,12080,80,638,5,46,290,23857,10149,13708,13536,4402,8519,52,533,5,25,172,15192,11484,3708,186495701.005059,113669.038521,5,GREATER INWOOD
7,22317,7411,22317,15338,6979,6806,1824,4364,12,574,6,26,173,14707,9720,4987,4886,1563,2837,8,461,5,12,101,7411,6734,677,336733354.505577,86821.201002,78,GREATER HOBBY AREA
8,49757,17530,49757,34780,14977,14786,3805,9403,70,1434,6,68,191,34648,22766,11882,11758,3391,7167,56,1091,6,47,124,17530,15549,1981,256543887.366966,71257.916876,73,GOLFCREST / BELLFORT / REVEILLE
9,54978,28365,54978,12827,42151,40969,19487,12911,105,8290,16,160,1182,42986,9211,33775,33023,16611,9687,73,6533,15,104,752,28365,24994,3371,819529793.950682,212370.594452,17,ELDRIDGE / WEST OAKS
10,26285,14911,26285,7890,18395,17991,14604,1530,72,1725,11,49,404,23200,6228,16972,16674,13659,1356,66,1547,8,38,298,14911,13595,1316,221349068.06108,88194.437587,22,WASHINGTON AVENUE COALITION / MEMORIAL PARK
11,19823,8609,19823,8625,11198,11091,522,10397,43,96,14,19,107,14002,5528,8474,8398,471,7790,32,80,9,16,76,8609,6874,1735,139063480.110129,55192.155457,55,GREATER FIFTH WARD
12,17164,5289,17164,16284,880,864,561,229,33,28,0,13,16,11795,11085,710,697,464,179,27,20,0,7,13,5289,4745,544,178184840.219475,80879.514977,56,DENVER HARBOR / PORT HOUSTON
13,3141,1350,3141,780,2361,2334,33,2284,4,6,1,6,27,2450,490,1960,1938,25,1903,4,1,0,5,22,1350,1208,142,98739353.116988,47322.949418,57,PLEASANTVILLE AREA
14,26963,9012,26963,19881,7082,6953,3363,3374,58,120,2,36,129,18160,12662,5498,5419,2893,2355,41,108,2,20,79,9012,7846,1166,258453761.418713,110804.435564,58,NORTHSHORE
15,11715,6264,11715,4358,7357,7234,6132,702,37,324,2,37,123,9600,3106,6494,6406,5458,607,32,283,2,24,88,6264,5746,518,97923908.54331,46775.69484,14,LAZY BROOK / TIMBERGROVE
16,40865,21257,40865,15936,24929,24357,21910,1426,62,869,15,75,572,33552,11681,21871,21513,19374,1254,57,760,11,57,358,21257,18908,2349,203953213.822998,67130.734476,15,GREATER HEIGHTS
17,9527,4413,9527,2277,7250,7189,172,6939,13,46,1,18,61,7158,1395,5763,5719,153,5514,10,32,1,9,44,4413,3640,773,112454830.781292,52352.041289,52,KASHMERE GARDENS
18,3503,1282,3503,1586,1917,1889,319,1468,10,87,0,5,28,2380,981,1399,1384,277,1029,9,66,0,3,15,1282,1124,158,233521115.141938,80038.574883,77,MINNETEX
19,26831,9664,26831,22331,4500,4410,2063,2189,46,84,4,24,90,19228,15645,3583,3526,1849,1538,43,75,4,17,57,9664,8505,1159,121049843.673192,50141.033029,51,NORTHSIDE VILLAGE
20,25564,9841,25564,16669,8895,8713,6986,800,43,850,4,30,182,18276,10960,7316,7208,5832,639,35,678,4,20,108,9841,8577,1264,170423337.243467,57962.345471,86,SPRING BRANCH EAST
21,19728,8023,19728,9955,9773,9601,7262,1179,32,1104,2,22,172,14746,6409,8337,8239,6438,801,28,956,1,15,98,8023,7238,785,94155257.908362,43303.813666,84,SPRING BRANCH NORTH
22,3135,865,3135,2109,1026,1014,407,582,9,11,0,5,12,2300,1464,836,830,373,440,6,8,0,3,6,865,797,68,125467377.996061,57859.756378,53,EL DORADO / OATES PRAIRIE
23,28081,9499,28081,20828,7253,7106,5254,934,24,830,5,59,147,19524,13526,5998,5913,4499,663,23,688,5,35,85,9499,8590,909,104210435.848597,57315.513071,85,SPRING BRANCH CENTRAL
24,2526,877,2526,1760,766,752,87,634,0,26,0,5,14,1653,1103,550,545,74,448,0,22,0,1,5,877,706,171,36742423.169184,30493.459309,54,HUNTERWOOD
25,4285,1732,4285,785,3500,3465,73,3384,6,0,1,1,35,3039,471,2568,2552,66,2479,5,0,1,1,16,1732,1511,221,55691109.751533,33779.628172,50,SETTEGAST
26,8954,3066,8954,6827,2127,2061,1543,405,13,75,0,25,66,6343,4512,1831,1795,1394,315,13,58,0,15,36,3066,2740,326,35068922.007838,33997.808424,11,LANGWOOD
27,13388,5550,13388,6129,7259,7191,919,6166,24,53,1,28,68,9938,3824,6114,6066,827,5145,19,50,1,24,48,5550,4539,1011,95203483.03731,42365.114997,13,INDEPENDENCE HEIGHTS
28,41561,19024,41561,17504,24057,23653,19668,3198,91,633,14,49,404,32306,11926,20380,20131,17011,2428,79,567,10,36,249,19024,17030,1994,240948311.031907,83851.207155,12,CENTRAL NORTHWEST
